ym,n,disp,long,short,cash,spy,capin,ratio,vix,real_n
2010-06,86,0.013076806518540807,-0.018770065270066628,0.031846871788607435,0.00014640669604092598,-0.05174157832485071,2.3955359727160004,0.7522044829448381,32.07,0
2010-07,86,0.014327610045407224,0.03876667071116798,-0.024439060665760758,0.00014632481691115933,0.06830086899766674,2.450122059227111,0.7143278253939885,34.54,0
2010-08,86,0.009356843200946643,-0.013979654679698026,0.02333649788064467,0.00015455470776719216,-0.044981236688190984,2.3865003575628325,1.0226471725829092,23.5,0
2010-09,86,0.0030159820814187263,0.05416534824771622,-0.05114936616629749,0.00015455816976572446,0.08955595619489287,2.384313832174021,0.9216963572991691,26.05,0
2010-10,86,0.002776317473706682,0.012094715364245867,-0.009318397890539185,0.00015442138367832703,0.03820174914393615,2.47070504526714,1.0497955718083234,23.7,0
2010-11,86,0.01763955583775589,-0.003412944377974621,0.02105250021573051,0.000154471567593921,0.0,2.439009940681469,1.1585369508078813,21.2,0
2010-12,86,-0.0032507389326054507,0.030865293210845027,-0.03411603214345048,0.0001464480935060429,0.06685145549141325,2.3679376626380657,1.012968608811578,23.54,0
2011-01,86,0.0008810658333144364,0.0032930104370578477,-0.0024119446037434112,0.00013822784516927326,0.02330052130477056,2.4274034099247537,1.3771326683444536,17.75,0
2011-02,86,-0.002765252351503906,0.007714426552112357,-0.010479678903616263,0.00013018028316316902,0.03473697465828662,2.364787627623249,1.21933230931356,19.53,0
2011-03,86,0.01282008760358389,-0.0052992831450097855,0.018119370748593676,0.00011390452061212857,0.00011971912508057514,2.36755376103266,1.2992596805523577,18.35,0
2011-04,86,0.008602529234539854,0.01589296213380253,-0.007290432899262677,8.13956480271996e-05,0.0289616351081301,2.3252223673604764,1.3199061636965241,17.74,0
2011-05,86,0.00797172265537896,-0.006675653673961843,0.014647376329340803,7.327018003190741e-05,-0.011213398776073413,2.30642662412344,1.5746346460036913,14.75,0
2011-06,87,0.001462086231665818,-0.01405882105495889,0.015520907286624709,7.338022686373504e-05,-0.016870342424195273,2.1596975150199462,1.3914763326246309,15.45,0
2011-07,87,0.007452932106803601,-0.009142885910998351,0.016595818017801953,5.713926120896761e-05,-0.02000431221206589,2.046980784626965,1.2334316888936814,16.52,0
2011-08,87,0.011969801102102513,-0.013396082974743696,0.025365884076846208,8.163875625619e-05,-0.05497569778050493,2.0334924925719986,0.8016643482291065,25.25,0
2011-09,87,0.014498483310404903,-0.017266635680085282,0.031765118990490185,6.528983511459574e-05,-0.06942137992680353,2.06524732810639,0.6501619996212455,31.620000000000005,0
2011-10,87,0.022902197800522772,0.07470362855691497,-0.051801430756392194,5.711171007215367e-05,0.10914780956140735,2.094211304879426,0.48525230391225765,42.96,0
2011-11,87,0.02832510125766124,-0.0017723992153016303,0.030097500472962873,6.510848619142318e-05,-0.004063168982097021,2.3372707128652275,0.7765663846287967,29.960000000000004,0
2011-12,87,0.02312132179467228,0.004283651046171129,0.01883767074850115,5.698593790221961e-05,0.010448179853723483,2.309820739052105,0.8270749351721117,27.800000000000004,0
2012-01,88,0.02695327753494939,0.04398467669425867,-0.01703139915930928,6.514697804571609e-05,0.046373855279107756,2.279532931425866,0.9586895043599508,23.4,0
2012-02,88,-0.005702468608795572,0.012740947371907084,-0.018443415980702656,8.130909745528648e-05,0.04340580571689112,2.4290830536562256,1.2296855314537563,19.44,0
2012-03,88,0.00363291448997146,0.013209157299370515,-0.009576242809399055,0.00010567363767569769,0.03216322502391944,2.4551036839713567,1.3109691210254755,18.43,0
2012-04,88,0.005115287901129551,-0.010634827442363439,0.01575011534349299,0.000113786351004145,-0.006675790338032006,2.468841996447143,1.5675072484260388,15.5,0
2012-05,88,-0.0033507620888712196,-0.020777502614090882,0.017426740525219662,0.00013009655236400234,-0.06005512830051074,2.4275857269982595,1.3930233961337186,17.15,0
2012-06,88,0.002044697806706408,0.013308142049232308,-0.0112634442425259,0.0001299539115754937,0.040581463410820584,2.534566318379738,1.0367069160872682,24.06,0
2012-07,88,0.005653132101838782,-0.001293324018674934,0.006946456120513716,0.00012990722910437698,0.011828585058570207,2.569578171717283,1.480546075764544,17.08,0
2012-08,88,0.004408727395268624,0.007219939782993063,-0.002811212387724439,0.00010558191623147614,0.025053040723024278,2.5397696324835533,1.320357910418182,18.93,0
2012-09,88,-0.0004683467245461268,0.0040883356560558765,-0.004556682380602003,0.00011377239794803072,0.025350666565260527,2.4808017588308173,1.3974848733547147,17.47,0
2012-10,88,0.014353169698214029,-0.0016306570342469234,0.015983826732460953,0.00013030213308965963,-0.018198322776734388,2.2734001827552808,1.422312829591876,15.73,0
2012-11,88,0.014289631948315902,0.0003702015042281437,0.013919430444087758,0.00013057551000048923,0.00565989541829981,2.068367499633081,1.0943663239518258,18.6,0
