date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2021-07-01,0.4926,206.2198,0.83,143,83,1,0.0
2021-08-01,0.7789,206.9986,0.88,143,88,1,0.0
2021-09-01,-1.777,205.2217,0.88,143,88,1,0.0
2021-10-01,7.9089,213.1306,1.36,143,68,2,1.777
2021-11-01,-0.0827,213.0479,0.65,143,65,1,0.0
2021-12-01,4.1644,217.2123,1.14,143,57,2,0.0827
2022-01-01,-2.4654,214.7469,0.74,143,74,1,0.0
2022-02-01,-4.2718,210.4751,2.24,143,56,4,2.4654
2022-03-01,8.5481,219.0233,4.68,143,39,12,6.7371
2022-04-01,-1.3951,217.6282,0.56,143,56,1,0.0
2022-05-01,-1.5813,216.0468,1.4,143,35,4,1.3951
2022-06-01,-5.6347,210.4121,2.04,143,34,6,2.9764
2022-07-01,-6.9372,203.4749,4.8,143,20,24,8.6112
2022-08-01,-28.7665,174.7084,10.4,143,26,40,15.5483
2022-09-01,-71.0802,103.6282,31.5,143,21,150,44.3149
2022-10-01,867.2308,970.859,74.24,143,8,928,115.3951
2022-11-01,1.2875,972.1464,0.36,143,36,1,0.0
2022-12-01,-1.4574,970.689,0.59,143,59,1,0.0
2023-01-01,2.2983,972.9873,1.36,143,68,2,1.4574
2023-02-01,-1.0328,971.9545,0.62,143,62,1,0.0
2023-03-01,0.7079,972.6624,1.22,143,61,2,1.0328
2023-04-01,1.4737,974.1361,1.66,143,83,2,0.3249
2023-05-01,0.8517,974.9878,0.74,143,74,1,0.0
2023-06-01,1.6591,976.6469,0.41,143,41,1,0.0
2023-07-01,0.9321,977.579,0.6,143,60,1,0.0
2023-08-01,-0.6222,976.9568,0.64,143,64,1,0.0
2023-09-01,-2.3333,974.6235,1.34,143,67,2,0.6222
2023-10-01,-3.2845,971.339,2.2,143,55,4,2.9555
2023-11-01,45.6326,1016.9716,5.88,143,42,14,6.24
2023-12-01,2.7622,1019.7338,0.77,143,77,1,0.0
2024-01-01,1.3165,1021.0503,0.76,143,76,1,0.0
2024-02-01,2.6051,1023.6555,0.73,143,73,1,0.0
2024-03-01,0.8971,1024.5526,0.81,143,81,1,0.0
2024-04-01,-1.8217,1022.7309,0.88,143,88,1,0.0
2024-05-01,4.3358,1027.0667,1.68,143,84,2,1.8217
2024-06-01,0.7525,1027.8192,0.75,143,75,1,0.0
2024-07-01,0.5094,1028.3287,0.72,143,72,1,0.0
2024-08-01,0.6428,1028.9715,0.71,143,71,1,0.0
2024-09-01,0.118,1029.0895,0.74,143,74,1,0.0
2024-10-01,-1.0237,1028.0657,0.74,143,74,1,0.0
2024-11-01,6.5289,1034.5947,1.5,143,75,2,1.0237
2024-12-01,-1.2196,1033.375,0.76,143,76,1,0.0
