date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2020-12-01,MA,buy_call,3.198,1,6.0711,2.8732,0.028732,False
2020-12-01,MCD,buy_call,2.2533,1,-0.7288,-2.2533,-0.022533,False
2020-12-01,MDLZ,buy_call,1.9996,1,1.7755,-0.2241,-0.002241,False
2020-12-01,MDT,buy_call,3.3064,1,3.0255,-0.2809,-0.002809,False
2020-12-01,META,buy_call,4.3383,1,-1.3756,-4.3383,-0.043383,False
2020-12-01,MMM,buy_call,3.5475,1,2.068,-1.4795,-0.014795,False
2020-12-01,MRK,buy_call,2.8863,1,1.7539,-1.1323,-0.011323,False
2020-12-01,MS,buy_call,3.5328,1,10.8362,7.3034,0.073034,False
2020-12-01,MSFT,buy_call,2.7365,1,4.1726,1.4361,0.014361,False
2020-12-01,MU,buy_call,4.0542,1,17.3038,13.2496,0.132496,False
2020-12-01,NEE,buy_call,2.2533,1,5.3293,3.076,0.03076,False
2020-12-01,NFLX,buy_call,5.0971,1,10.1956,5.0986,0.050986,False
2020-12-01,NKE,buy_call,2.5023,1,5.026,2.5237,0.025237,False
2020-12-01,NOW,buy_call,4.0261,1,2.9707,-1.0554,-0.010554,False
2020-12-01,NVDA,buy_call,4.0542,1,-2.5855,-4.0542,-0.040542,False
2020-12-01,ORCL,buy_call,2.4141,1,12.0755,9.6615,0.096615,False
2020-12-01,PEP,buy_call,1.9996,1,2.8219,0.8223,0.008223,False
2020-12-01,PFE,buy_call,3.2155,1,-2.9273,-3.2155,-0.032155,False
2020-12-01,PG,buy_call,3.8939,1,0.1944,-3.6994,-0.036994,False
2020-12-01,PLD,buy_call,3.5475,1,-0.3898,-3.5475,-0.035475,False
2020-12-01,PM,buy_call,1.9996,1,9.2938,7.2942,0.072942,False
2020-12-01,PYPL,buy_call,3.198,1,9.3779,6.18,0.0618,False
2020-12-01,REGN,skip,0.0,0,-6.3795,0.0,0.0,False
