ym,n,vix,long,short,disp,cash,spy,capin
2008-06,86,17.83,-0.018378798858982696,0.017705947115399762,-0.0006728517435829334,0.0016311245269463493,-0.08357556616623507,2.1325283832190496
2008-07,86,23.95,0.015992488999596714,0.02378336698899744,0.03977585598859415,0.0016270196064199036,-0.008985377528498484,2.864501109259464
2008-08,86,22.94,0.0016466787899320269,0.009490080310678857,0.011136759100610884,0.0016209383051869089,0.015453853244979499,2.7437016887854737
2008-09,86,20.65,-0.010113267911453908,0.020506326861077128,0.01039305894962322,0.0014710803668370788,-0.09417395049091415,2.4698099334533583
2008-10,86,39.39,-0.04695400745644549,0.0391159426178125,-0.007838064838632988,0.000770251316028908,-0.16518725833443826,4.711177398485606
2008-11,86,59.89,-0.05763909246352186,0.0594733131094387,0.0018342206459168384,0.00030172009782216975,-0.0696065511374776,7.16304682394778
2008-12,86,55.84,-0.02344400541747535,0.04702640750936477,0.023582402091889422,0.00012442846252241901,0.009796608866161627,6.678653108185741
2009-01,86,40.0,-0.03329100516653167,0.03972169852024626,0.0064306933537145936,0.00011901983066960447,-0.08211454549608199,4.784135464316432
2009-02,86,44.84,-0.04623675256480579,0.044528024041196046,-0.0017087285236097455,0.00017350113759825235,-0.1074485754439759,5.3630158554987215
2009-03,86,46.35,0.04552160951416592,-0.025620230026204584,0.01990137948796134,0.000141684574546085,0.08331133510062783,5.543616969276667
2009-04,86,44.14,0.07671739608972465,-0.04160379496126203,0.035113601128462624,0.00011840088314390853,0.0993449875329695,5.2792934848731825
2009-05,86,36.5,0.01368881653396384,-0.014023950365639486,-0.00033513383167564637,0.00014345171458321688,0.05845348868065603,4.3655236111887445
2009-06,86,28.92,-0.00999051828200663,0.028718788030138043,0.018728269748131413,0.00016894687260377364,-0.0006547938579155588,3.4589299407007807
2009-07,86,26.35,0.04528925551777429,-0.0379939669611404,0.007295288556633889,0.00012913126768384207,0.07460539053645654,3.15154923711845
2009-08,86,25.920000000000005,0.010100561854756258,-0.006028470347211603,0.004072091507544655,0.00012919984029216393,0.03693968719573393,3.1001197808770486
2009-09,86,26.009999999999998,0.008526699125793786,-0.0046650284651412735,0.003861670660652512,0.0001211113948929103,0.035458212706896974,3.1108840856717603
2009-10,86,25.61,-0.012581139047884701,0.025431817477587663,0.012850678429702962,9.693695726897139e-05,-0.01922594837950542,3.0630427310285957
2009-11,86,30.69,0.028830361003235386,-0.022505577544012684,0.006324783459222702,9.63293720650032e-05,0.061607035736827465,3.6706279349967827
2009-12,86,24.51,-0.000527568846833034,0.00791213650955612,0.0073845676627230855,9.70685209942401e-05,0.01910155146363346,2.9314790057598943
2010-01,86,21.68,-0.013167652391406787,0.021529160597973468,0.00836150820656668,8.928974869681213e-05,-0.036343145054362314,2.593001421659506
2010-02,86,24.62,0.0019487500337469121,-0.002379601849751482,-0.00043085181600457,0.00010514331167352266,0.031195706149957037,2.944635378286765
2010-03,86,19.5,0.029979770272601795,-0.03299140801987041,-0.003011637747268616,0.00013022364528152765,0.060878762847081935,2.332266038854261
2010-04,86,17.59,0.009871120324485639,0.004163447465852812,0.01403456779033845,0.00016316029404927807,0.015469964486541254,2.1038235704331516
2010-05,86,22.05,-0.02459148094846484,0.021896586309285745,-0.002694894639179095,0.00016227124220882593,-0.07945363731354038,2.637254674704433
