ym,n,long,short,disp,cash,spy,capin,ratio,vix
2008-10,84,-0.06169674990271092,0.038206269533677326,-0.023490480369033596,0.0007583342658848435,-0.16518725833443826,6.185451643112149,1.618962468361355,39.39
2008-11,84,-0.06326592848267008,0.05809021280456803,-0.005175715678102051,0.0002998913761159466,-0.0696065511374776,7.725730425862602,1.3299538860107385,59.89
2008-12,84,-0.03132436582824836,0.045932770125426056,0.014608404297177698,0.00012343828533251257,0.009796608866161627,7.421286000615567,1.3702036015492602,55.84
2009-01,84,-0.03927797369989163,0.038797938089542856,-0.0004800356103487752,0.00011827145960293447,-0.08211454549608199,5.382832317652429,1.3874016462496637,40.0
2009-02,84,-0.05491780870142948,0.04349248859837753,-0.011425320103051952,0.00017218715262263631,-0.1074485754439759,6.079734933107469,1.397881594969084,44.84
2009-03,84,0.0381814522761585,-0.025024410723269594,0.01315704155288891,0.0001407008801025457,0.08331133510062783,6.199413264969519,1.3789616725797074,46.35
2009-04,84,0.07222473073798169,-0.04063626484588384,0.03158846589209785,0.00011807152080213211,0.0993449875329695,5.54278335829431,1.2946337400361665,44.14
2009-05,86,0.010110510525132343,-0.014023950365639486,-0.0039134398405071425,0.00014291496868189214,0.05845348868065603,4.723354212071894,1.3031362659211505,36.5
2009-06,86,-0.012035141939779517,0.028718788030138043,0.016683646090358526,0.00016858906346366336,-0.0006547938579155588,3.6633923064780696,1.2756082543015521,28.92
2009-07,86,0.04329463215138413,-0.0379939669611404,0.0053006651902437266,0.00012886531790165672,0.07460539053645654,3.3510115737574666,1.2806412564536591,26.35
2009-08,86,0.00972208252342046,-0.006028470347211603,0.0036936121762088563,0.00012914937638131918,0.03693968719573393,3.137967714010628,1.2191177489720544,25.920000000000005
2009-09,86,0.008372226882669186,-0.0046650284651412735,0.0037071984175279125,0.00012109208586251973,0.035458212706896974,3.12633130998422,1.2103941842998747,26.009999999999998
2009-10,86,-0.01287871369565153,0.025431817477587663,0.012553103781936133,9.690719980419471e-05,-0.01922594837950542,3.092800195805278,1.2161144985138694,25.61
2009-11,86,0.02386619709020984,-0.022505577544012684,0.0013606195461971539,9.583295567370066e-05,0.061607035736827465,4.167044326299337,1.367298735771457,30.69
2009-12,86,-0.004274269192261476,0.00791213650955612,0.003637867317294644,9.669385095969726e-05,0.01910155146363346,3.306149040302738,1.3583487791407933,24.51
2010-01,86,-0.015784382354155333,0.021529160597973468,0.005744778243818135,8.904988178356017e-05,-0.036343145054362314,2.8546744179343606,1.3259571384325453,21.68
2010-02,86,-0.002501905455864844,-0.002379601849751482,-0.004881507305616326,0.00010466115732881472,0.031195706149957037,3.3897009272479397,1.3864541563053214,24.62
2010-03,86,0.0203297836973968,-0.03299140801987041,-0.01266162432247361,0.00012893698040483367,0.060878762847081935,3.2972646963747616,1.7027519320585134,19.5
2010-04,86,0.0015254367386731613,0.004163447465852812,0.005688884204525973,0.000161769346784976,0.015469964486541254,2.9383919290143994,1.682193937359778,17.59
2010-05,86,-0.03450978752492746,0.021896586309285745,-0.012613201215641717,0.00016061819111274885,-0.07945363731354038,3.6290853323506957,1.6573749355677874,22.05
2010-06,86,-0.03657841004335845,0.031846871788607435,-0.004731538254751012,0.0001437354443249322,-0.05174157832485071,4.176370450045184,1.3113911086046433,32.07
2010-07,86,0.02108512692882009,-0.024439060665760758,-0.003353933736940668,0.00014367258534380713,0.06830086899766674,4.2182764374619,1.2298294377355965,34.54
2010-08,86,-0.018478693353669882,0.02333649788064467,0.004857804526974787,0.00015384235997714662,-0.044981236688190984,2.836404224960018,1.21543696893463,23.5
2010-09,86,0.0477878678195194,-0.05114936616629749,-0.00336149834677809,0.00015354840203125997,0.08955595619489287,3.022061874993702,1.1682285209806622,26.05
2010-10,86,0.010987194975081827,-0.009318397890539185,0.0016687970845426416,0.00015424602628337603,0.03820174914393615,2.581457084183543,1.0968537992749745,23.7
2010-11,86,-0.0019142486945436493,0.02105250021573051,0.019138251521186863,0.00015470886107713091,0.0,2.2891403723383714,1.0873484616463354,21.2
2010-12,86,0.028942532124170105,-0.03411603214345048,-0.0051735000192803735,0.00014615967934304165,0.06685145549141325,2.5602137713055577,1.0952214760967853,23.54
2011-01,86,0.008687751447767995,-0.0024119446037434112,0.006275806844024584,0.00013899210014579053,0.02330052130477056,1.8879293088537383,1.0710741840920637,17.75
2011-02,86,0.010283978462711691,-0.010479678903616263,-0.00019570044090457157,0.00013052289008458226,0.03473697465828662,2.107832436563315,1.086841017983473,19.53
2011-03,86,-0.0014186554992996231,0.018119370748593676,0.016700715249294052,0.00011435726050412809,0.00011971912508057514,1.9794909964616443,1.0862996574984831,18.35
2011-04,86,0.019792895304628227,-0.007290432899262677,0.012502462405365549,8.172064245810174e-05,0.0289616351081301,1.935229050277907,1.0985275161127792,17.74
2011-05,86,0.0004883600544060447,0.014647376329340803,0.015135736383746847,7.3807481061535e-05,-0.011213398776073413,1.5900252512866508,1.085535877235298,14.75
2011-06,87,-0.010943968994717864,0.015520907286624709,0.004576938291906845,7.361384076825312e-05,-0.016870342424195273,1.8482123089958429,1.1907888339675592,15.45
2011-07,87,-0.009414561029334863,0.016595818017801953,0.00718125698846709,5.712341349373131e-05,-0.02000431221206589,2.074148296460616,1.2498017839408246,16.52
2011-08,87,-0.0253493466425979,0.025365884076846208,1.6537434248307947e-05,8.064265095053548e-05,-0.05497569778050493,3.2288188593574185,1.27289821619293,25.25
2011-09,87,-0.03613745102128513,0.031765118990490185,-0.004372332030794943,6.403178075851575e-05,-0.06942137992680353,3.9523288622263744,1.2442354972476632,31.620000000000005
2011-10,87,0.04029188311350503,-0.051801430756392194,-0.011509547642887162,5.510435825462143e-05,0.10914780956140735,5.535385849220419,1.2826111338999608,42.96
2011-11,87,-0.012762787485870383,0.030097500472962873,0.01733471298709249,6.437579364005193e-05,-0.004063168982097021,3.4363095399221026,1.1417258861774922,29.960000000000004
2011-12,87,-0.004084657658907968,0.01883767074850115,0.014753013089593182,5.649778656109e-05,0.010448179853723483,3.1466516095600143,1.1267180313975709,27.800000000000004
2012-01,88,0.03857598933262168,-0.01703139915930928,0.021544590173312398,6.478639888827362e-05,0.046373855279107756,2.820401667589565,1.1861594274517078,23.4
2012-02,88,0.012807567870072527,-0.018443415980702656,-0.005635848110630129,8.131464916346693e-05,0.04340580571689112,2.4224210038396805,1.2263129723076625,19.44
2012-03,88,0.01482334222238228,-0.009576242809399055,0.005247099412983226,0.00010584850770902397,0.03216322502391944,2.29368519167018,1.2247753442204876,18.43
2012-04,88,-0.005111444733907115,0.01575011534349299,0.010638670609585874,0.00011443074565346492,-0.006675790338032006,1.9165037256015105,1.2168188510399043,15.5
2012-05,88,-0.017491721898620805,0.017426740525219662,-6.498137340114202e-05,0.00013053465645939834,-0.06005512830051074,2.0990076554512513,1.2044751870917028,17.15
2012-06,88,0.009948992071595157,-0.0112634442425259,-0.0013144521709307425,0.00012950602491180872,0.040581463410820584,2.8704813161434535,1.1741053336681124,24.06
2012-07,88,0.0040864892000157214,0.006946456120513716,0.011032945320529439,0.00013062453753353572,0.011828585058570207,2.0315968498482175,1.170570631664491,17.08
2012-08,88,0.010100619498280637,-0.002811212387724439,0.007289407110556198,0.00010589398986729897,0.025053040723024278,2.2517016609547964,1.1705991212424174,18.93
2012-09,88,0.006963190049686627,-0.004556682380602003,0.002406507669084624,0.00011410779762728765,0.025350666565260527,2.1933163194677423,1.2355386189272848,17.47
2012-10,88,-0.0006197394411114337,0.015983826732460953,0.01536408729134952,0.00013043692210207771,-0.018198322776734388,2.172308423441732,1.3590665488321847,15.73
2012-11,88,-0.009253884110659714,0.013919430444087758,0.0046655463334280434,0.00012929229858517087,0.00565989541829981,3.0307760611218666,1.6035734739206224,18.6
2012-12,88,0.0003581897717071715,0.008263820366594671,0.008622010138301843,0.00012992327500017744,0.008934392582039319,2.557543749866926,1.5859668461611907,15.869999999999997
2013-01,88,0.031657808775863966,-0.026736781286890898,0.004921027488973068,0.00011331019811884059,0.05119040970942468,2.876973040993793,1.571190936524817,18.02
2013-02,88,-0.002129233839619628,0.00328234801849902,0.001153114178879392,0.00012227324173747544,0.012759182757943188,2.181406610019643,1.5033371055038078,14.279999999999998
2013-03,88,0.014965335409340232,-0.017654198630272712,-0.0026888632209324803,0.00011385011203584798,0.03797099470284482,2.4141896835588916,1.5318193507973707,15.509999999999998
2013-04,88,0.01215495004826566,-0.0040022065346910305,0.00815274351357463,0.00012256173770604087,0.019212658808656302,1.9506098351672914,1.511522611065364,12.7
2013-05,88,0.017102642764867775,-0.007037718587254488,0.010064924177613286,8.973518073958083e-05,0.023608958764403942,2.1070755568209183,1.5337387035201695,13.52
2013-06,88,-0.02711714504566362,0.016563024522511984,-0.010554120523151637,7.221170287881473e-05,-0.013344108063055304,3.7177294949136925,2.2445957801129026,16.3
2013-07,89,0.020152949166270022,-0.02866585016727781,-0.008512901001007787,7.219931382034686e-05,0.051677071489745874,3.734248239537508,2.155193356709451,16.86
2013-08,89,-0.017237294947468382,0.013822342794668829,-0.003414952152799553,6.491400708760844e-05,-0.02999261966370581,2.6289893685873547,1.901985363582023,13.449999999999998
2013-09,89,0.00645473446905011,-0.010684461345725768,-0.004229726876675659,6.472155241400699e-05,0.031646468905837555,2.917671378989516,1.6690628342215716,17.01
2013-10,89,0.016502980775981203,-0.024153805321118584,-0.00765082454513738,7.288817470724239e-05,0.046307136039476005,2.815767057010134,1.6505521879721956,16.6
2013-11,89,0.010808671619433045,-0.012246487658604569,-0.0014378160391715234,6.507658376661972e-05,0.029637230895528832,2.3851243500704253,1.6879087054920012,13.750000000000002
2013-12,89,0.004665393350028978,-0.00899506869423633,-0.004329675344207352,7.320477360574812e-05,0.025926216133364655,2.393635192335846,1.7001139046627523,13.699999999999998
2014-01,89,-0.01233126041870084,0.014099817334041366,0.0017685569153405266,5.6923928564259e-05,-0.035248134485849736,2.4161224612702856,1.7135842288091283,13.720000000000002
2014-02,89,0.013541141823911635,-0.021589393638793964,-0.00804825181488233,5.667686487173545e-05,0.04551578257312827,2.8396602198820875,1.5009050336187542,18.41
2014-03,90,-0.0016880928851807275,0.0070834451982565655,0.005395352313075838,6.524884913125641e-05,0.008295312872580007,2.126726303115393,1.4617452423765827,14.000000000000002
